TFBS,peak_count,Numberof PostivePeaksForFinetuning,Type,Accuracy,Precision,Recall,Specificity,F1-score,MCC,ROC-AUC,PR-AUC
CTCFL,12743,12743,TF,98.39,98.13,98.68,98.03,98.4,96.72,99.71,99.7
ZNF426,7915,7915,TF,97.09,98.05,95.27,98.23,96.64,93.62,98.08,98.65
SAFB,5361,5361,TF; RBP,97.02,97.11,96.51,97.46,96.81,94.01,98.38,98.57
RBM34,928,928,TF; RBP,97,99.97,93.28,99.97,96.53,94.07,98.18,98.44
TAF15,17900,17900,TF; RBP,96.74,96.53,96.28,97.08,96.41,93.39,99.02,98.58
PCBP1,16229,16229,TF; RBP,96.7,95.66,96.22,97.02,95.94,93.16,99.19,98.66
SRSF3,1610,1610,TF; RBP,96.6,95.55,97.52,96.18,96.52,93.56,98.2,95.53
RBM14,2463,2463,TF; RBP,96.57,96,95.45,96.98,95.73,92.5,98.8,98.4
KDM4A,25968,25968,TF,96.07,96.79,95.2,97.63,95.99,93.03,99.08,98.72
NFYA,4313,4313,TF,95.91,96.03,94.38,97.06,95.19,91.64,96.88,93.73
SPI1,104150,50000,TF,95.79,94.83,96.74,94.79,95.78,91.54,98.75,98.38
HLF,66792,50000,TF,95.71,94.68,97,94.54,95.83,91.57,98.88,98.74
EGR2,57610,50000,TF,95.68,98.75,99.69,98.75,99.22,98.44,99.75,99.6
HNRNPLL,25270,25270,TF; RBP,95.43,93.42,94.05,96.24,93.73,90.16,98.77,97.88
HNRNPK,24014,24014,TF; RBP,95.41,95.16,93.38,96.78,94.27,90.45,97.05,96.06
FIP1L1,10123,10123,TF; RBP,95.35,95.92,92.47,97.21,94.16,90.19,98.25,98.13
ZNF654,33357,33357,TF,95.31,95.86,94.71,95.95,95.28,90.67,97.93,98.17
ZNF146,38167,38167,TF,95.23,95.74,93.61,96.58,94.66,90.38,97.57,97.69
E2F6,30723,30723,TF,95.14,93.41,94.01,95.92,93.71,89.82,98.25,96.91
